cat_name,sub_name,name,slug,size,grade,standard,dimensions,factory,unit,price,source
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۵.۵ ابهر,rebar-heat-treated-5-5-abhr,۵.۵,,,,ابهر,kg,73818,میلگرد ساده 5.5  ابهر  کلاف    کارخانه
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۵.۵ کاشان,rebar-heat-treated-5-5-kashan,۵.۵,,,,کاشان,kg,74727,میلگرد ساده 5.5 کاشان کلاف  کارخانه
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۶.۵ ابهر,rebar-heat-treated-6-5-abhr,۶.۵,,,,ابهر,kg,72909,میلگرد ساده 6.5  ابهر  کلاف    کارخانه
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۶.۵ امیرآباد,rebar-heat-treated-6-5-amyrabad,۶.۵,,,,امیرآباد,kg,72000,میلگرد ساده 6.5  امیرآباد  کلاف    کارخانه
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۶.۵ ملایر,rebar-heat-treated-6-5-mlayr,۶.۵,,,,ملایر,kg,72000,میلگرد ساده 6.5 ملایر  کلاف    تهران
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۶.۵ نطنز,rebar-heat-treated-6-5-ntnz,۶.۵,,,,نطنز,kg,72090,میلگرد ساده 6.5 نطنز  کلاف    کارخانه
میلگرد,میلگرد حرارتی,میلگرد حرارتی ۶.۵ کاشان,rebar-heat-treated-6-5-kashan,۶.۵,,,,کاشان,kg,74727,میلگرد ساده 6.5 کاشان کلاف  کارخانه
میلگرد,میلگرد استیل,میلگرد استیل ۶ هند,rebar-stainless-6-304l-hnd,۶,304L,,,هند,kg,831818,میلگرد استیل   6   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۸ هند,rebar-stainless-8-304l-hnd,۸,304L,,,هند,kg,831818,میلگرد استیل   8   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۰ هند,rebar-stainless-10-304l-hnd,۱۰,304L,,,هند,kg,831818,میلگرد استیل 10  10   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۲ هند,rebar-stainless-12-304l-hnd,۱۲,304L,,,هند,kg,831818,میلگرد استیل   12   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۴ هند,rebar-stainless-14-304l-hnd,۱۴,304L,,,هند,kg,831818,میلگرد استیل   14   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۲۰ هند,rebar-stainless-20-304l-hnd,۲۰,304L,,,هند,kg,831818,میلگرد استیل   20   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۲۵ هند,rebar-stainless-25-304l-hnd,۲۵,304L,,,هند,kg,831818,میلگرد استیل   25   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۳۰ هند,rebar-stainless-30-304l-hnd,۳۰,304L,,,هند,kg,831818,میلگرد استیل   30   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۴۰ هند,rebar-stainless-40-304l-hnd,۴۰,304L,,,هند,kg,831818,میلگرد استیل   40   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۵۰ هند,rebar-stainless-50-304l-hnd,۵۰,304L,,,هند,kg,831818,میلگرد استیل   50   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۵۵ هند,rebar-stainless-55-304l-hnd,۵۵,304L,,,هند,kg,831818,میلگرد استیل   55   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۶۰ هند,rebar-stainless-60-304l-hnd,۶۰,304L,,,هند,kg,831818,میلگرد استیل   60   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۶۵ هند,rebar-stainless-65-304l-hnd,۶۵,304L,,,هند,kg,831818,میلگرد استیل   65   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۸۰ هند,rebar-stainless-80-304l-hnd,۸۰,304L,,,هند,kg,831818,میلگرد استیل   80   هند  304L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۶ تایوان,rebar-stainless-6-310s-tayvan,۶,310S,,,تایوان,kg,1939090,میلگرد استیل   6   تایوان  310S  6 متری
