sku_id,slug,name,cat,sub,size,factory,unit,old_price,price,tier,source_page,source_name,source_code,reason
01M0ABCFPVY7279774SBD51R53,ibeam-12-zobahan,تیرآهن ۱۲ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۱۲,ذوب‌آهن اصفهان,branch,,13363636,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 12 ذوب آهن  12 متری   IPE تهران,0392,ahanonline per-شاخه 12 m بنگاه تهران; implies 106909 T/kg on our 125 kg branch
01M0AFV40WE7C10DC73XN5C94Q,ibeam-14-ahvaz,تیرآهن ۱۴ اهواز,تیرآهن,تیرآهن,۱۴,اهواز,branch,,10000000,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 14 اهواز  12 متری   IPE تهران,0390,ahanonline per-شاخه 12 m بنگاه تهران; implies 74074 T/kg on our 135 kg branch
01M0ABM38DJ30SNP9XVGP4BZ25,ibeam-14-zobahan,تیرآهن ۱۴ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۱۴,ذوب‌آهن اصفهان,branch,,13818181,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 14 ذوب آهن  12 متری   IPE تهران,0396,ahanonline per-شاخه 12 m بنگاه تهران; implies 89150 T/kg on our 155 kg branch
01M0AFY7VSGTD303MTY1A9BQMT,ibeam-14-zafar-bonab,تیرآهن ۱۴ ظفر بناب,تیرآهن,تیرآهن,۱۴,ظفر بناب,branch,,10000000,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 14 بناب  12 متری   IPE تهران,0388,ahanonline per-شاخه 12 m بنگاه تهران; implies 74074 T/kg on our 135 kg branch
01M0ADKJCFH8GRMAFATK52FVPV,ibeam-14-faico,تیرآهن ۱۴ فایکو,تیرآهن,تیرآهن,۱۴,فایکو,branch,,10727272,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن    14 فایکو 12 متری بنگاه تهران,5823,ahanonline per-شاخه 12 m بنگاه تهران; implies 79461 T/kg on our 135 kg branch
01M0AFDNTA6BNVZTCEDB4VJEA8,ibeam-14-yzd,تیرآهن ۱۴ یزد,تیرآهن,تیرآهن,۱۴,یزد,branch,,10727272,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 14 یزد  12 متری   IPE تهران,0293,ahanonline per-شاخه 12 m بنگاه تهران; implies 79461 T/kg on our 135 kg branch
01M0ABQ9YPRFD011BQCKX676DK,ibeam-16-zobahan,تیرآهن ۱۶ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۱۶,ذوب‌آهن اصفهان,branch,,16545454,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 16 ذوب آهن  12 متری   IPE تهران,0397,ahanonline per-شاخه 12 m بنگاه تهران; implies 87081 T/kg on our 190 kg branch
01M0AFG66F3GR3R58BZRJE4DPP,ibeam-16-yzd,تیرآهن ۱۶ یزد,تیرآهن,تیرآهن,۱۶,یزد,branch,,13909090,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 16 یزد  12 متری   IPE تهران,0280,ahanonline per-شاخه 12 m بنگاه تهران; implies 81818 T/kg on our 170 kg branch
01M0ABT3FP6RW9PF13A756W5X9,ibeam-18-zobahan,تیرآهن ۱۸ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۱۸,ذوب‌آهن اصفهان,branch,,19727272,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 18 ذوب آهن  12 متری   IPE تهران,0274,ahanonline per-شاخه 12 m بنگاه تهران; implies 87289 T/kg on our 226 kg branch
01M0ADQ9BC2DV00AXXF23WZG55,ibeam-18-faico,تیرآهن ۱۸ فایکو,تیرآهن,تیرآهن,۱۸,فایکو,branch,,16636363,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن    18 فایکو 12 متری بنگاه تهران,5822,ahanonline per-شاخه 12 m بنگاه تهران; implies 83182 T/kg on our 200 kg branch
01M0AFHKGG4TAA7N1Q9FM7MM5F,ibeam-18-yzd,تیرآهن ۱۸ یزد,تیرآهن,تیرآهن,۱۸,یزد,branch,,16636363,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 18 یزد  12 متری   IPE تهران,0295,ahanonline per-شاخه 12 m بنگاه تهران; implies 81153 T/kg on our 205 kg branch
01M0ABWXSFEV61PJ28TZT75EG9,ibeam-20-zobahan,تیرآهن ۲۰ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۲۰,ذوب‌آهن اصفهان,branch,,26363636,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 20 ذوب آهن  12 متری   IPE تهران,0276,ahanonline per-شاخه 12 m بنگاه تهران; implies 97643 T/kg on our 270 kg branch
01M0AFK12M1D1M964C1F75X80P,ibeam-20-yzd,تیرآهن ۲۰ یزد,تیرآهن,تیرآهن,۲۰,یزد,branch,,20454545,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 20 یزد  12 متری   IPE تهران,0332,ahanonline per-شاخه 12 m بنگاه تهران; implies 85227 T/kg on our 240 kg branch
01M0AC0MHECC1VCAWJXZ44S127,ibeam-22-zobahan,تیرآهن ۲۲ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۲۲,ذوب‌آهن اصفهان,branch,,28636363,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 22 ذوب آهن  12 متری   IPE تهران,0285,ahanonline per-شاخه 12 m بنگاه تهران; implies 89489 T/kg on our 320 kg branch
01M0AFMBQKEY651DR0QSBWGXDW,ibeam-22-yzd,تیرآهن ۲۲ یزد,تیرآهن,تیرآهن,۲۲,یزد,branch,,25454545,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 22 یزد  12 متری   IPE تهران,5236,ahanonline per-شاخه 12 m بنگاه تهران; implies 84848 T/kg on our 300 kg branch
01M0AC46YE2SWT0WDW6R8B43SF,ibeam-24-zobahan,تیرآهن ۲۴ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۲۴,ذوب‌آهن اصفهان,branch,,33181818,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 24 ذوب آهن  12 متری   IPE تهران,0296,ahanonline per-شاخه 12 m بنگاه تهران; implies 89681 T/kg on our 370 kg branch
01M0AFP79JRTCYH7X060C9DW58,ibeam-24-yzd,تیرآهن ۲۴ یزد,تیرآهن,تیرآهن,۲۴,یزد,branch,,30454545,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 24    یزد  12 متری  بنگاه تهران,10988,ahanonline per-شاخه 12 m بنگاه تهران; implies 89572 T/kg on our 340 kg branch
01M0AC7FZF73DDSHVJKW85SSJN,ibeam-27-zobahan,تیرآهن ۲۷ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۲۷,ذوب‌آهن اصفهان,branch,,39545454,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 27 ذوب آهن  12 متری   IPE تهران,0302,ahanonline per-شاخه 12 m بنگاه تهران; implies 89876 T/kg on our 440 kg branch
01M0ACE7BE8C9ARTX4ZJD7FACG,ibeam-30-zobahan,تیرآهن ۳۰ ذوب‌آهن اصفهان,تیرآهن,تیرآهن,۳۰,ذوب‌آهن اصفهان,branch,,54090909,T2,تیرآهن-و-هاش/تیرآهن,تیرآهن 30 ذوب آهن  12 متری   IPE تهران,0336,ahanonline per-شاخه 12 m بنگاه تهران; implies 106061 T/kg on our 510 kg branch
pipe-scaffold-20,pipe-scaffold-20,لوله داربستی ۱½ اینچ,لوله,داربستی,۱½ اینچ,لوله سپاهان,kg,49050,103909,T3,انواع-لوله/لوله-داربستی,"median of 15 rows, size 1 1/2 اینچ",,"mill not like-for-like, but ahanonline's own spread for this size is 3.4% across ['لوله داربستی بهفلز سپاهان', 'لوله داربستی تهران شرق', 'لوله داربستی صحرا فولاد سپاهان', 'لوله داربستی فولاد گستر حداد', 'لوله داربستی گل نرده'] — category reference"
pipe-industrial-11,pipe-industrial-11,لوله صنعتی درزدار ۱ اینچ,لوله,صنعتی درزدار,۱ اینچ,لوله سپاهان,kg,49100,109410,T3,انواع-لوله/لوله-آهنی-سیاه,"median of 6 rows, size 1 اینچ",,"mill not like-for-like, but ahanonline's own spread for this size is 5.6% across ['لوله تست آب', 'لوله صنعتی'] — category reference"
pipe-industrial-14,pipe-industrial-14,لوله صنعتی درزدار ۲ اینچ,لوله,صنعتی درزدار,۲ اینچ,سپنتا,kg,51400,111440,T3,انواع-لوله/لوله-آهنی-سیاه,"median of 7 rows, size 2 اینچ",,"mill not like-for-like, but ahanonline's own spread for this size is 6.2% across ['لوله تست آب', 'لوله صنعتی'] — category reference"
pipe-galvanized-22,pipe-galvanized-22,لوله گالوانیزه ۲½ اینچ,لوله,گالوانیزه,۲½ اینچ,نورد لوله ساوه,kg,47150,199831,T1,انواع-لوله/لوله-گالوانیزه,لوله گالوانیزه تست آب ضخامت 3 میل سایز 2 1/2 اینچ ساوه,11875,exact match on انواع-لوله/لوله-گالوانیزه
pipe-galvanized-26,pipe-galvanized-26,لوله گالوانیزه ۶ اینچ,لوله,گالوانیزه,۶ اینچ,کالوپ,kg,48950,197004,T3,انواع-لوله/لوله-گالوانیزه,"median of 2 rows, size 6 اینچ",,"mill not like-for-like, but ahanonline's own spread for this size is 2.9% across ['ساوه', 'سپاهان'] — category reference"
01M03K9MQXPJBJFTFXRQH8K1YW,rebar-32-a3-zobahan,میلگرد آجدار 32 ذوب‌آهن اصفهان,میلگرد,میلگرد آجدار,۳۲,ذوب‌آهن اصفهان,kg,,66727,T1,میلگرد/قیمت-میلگرد,میلگرد 32 ذوب آهن اصفهان آجدار A3 کارخانه,0940,exact match on میلگرد/قیمت-میلگرد
01M05R0M4CAQF0KFY22ZZW60EW,rebar-10-a2-anahita-gilan,میلگرد آجدار ۱۰ آناهیتا گیلان,میلگرد,میلگرد آجدار,۱۰,آناهیتا گیلان,kg,,71545,T1,میلگرد/قیمت-میلگرد,میلگرد 10 آناهیتا گیلان آجدار A2 کارخانه,1451,exact match on میلگرد/قیمت-میلگرد
01M05QQTWZCAMFGF4584699V96,rebar-10-a3-abrkvh,میلگرد آجدار ۱۰ ابرکوه,میلگرد,میلگرد آجدار,۱۰,ابرکوه,kg,,70181,T3,میلگرد/قیمت-میلگرد,"median of 27 rows, size 10",,"mill not like-for-like, but ahanonline's own spread for this size is 8.0% across ['آریان فولاد', 'آناهیتا گیلان', 'ابهر', 'امیرکبیر', 'بافق یزد', 'درپاد تبریز', 'راد همدان', 'شاهرود', 'شاهین بناب', 'صبا فولاد زاگرس', 'ظفر بناب', 'فایکو', 'میانه', 'نیشابور', 'هیربد', 'پردیس', 'پرشین فولاد', 'کاشان', 'کاوه تیکمه داش'] — category reference"
01M03NB1KH95PBJME5RAXV8HR6,rebar-10-a3-abhr,میلگرد آجدار ۱۰ ابهر,میلگرد,میلگرد آجدار,۱۰,ابهر,kg,,70000,T1,میلگرد/قیمت-میلگرد,میلگرد 10 ابهر آجدار A2 کارخانه,0846,exact match on میلگرد/قیمت-میلگرد
01M03N9XDADJHN70GBNKXT208R,rebar-10-a2-abhr,میلگرد آجدار ۱۰ ابهر,میلگرد,میلگرد آجدار,۱۰,ابهر,kg,,70000,T1,میلگرد/قیمت-میلگرد,میلگرد 10 ابهر آجدار A2 کارخانه,0846,exact match on میلگرد/قیمت-میلگرد
01M03MRW7VZA1F9WN6W2DRSZZR,rebar-10-a2-amirkabir-khazar-2,میلگرد آجدار ۱۰ امیرکبیر خزر,میلگرد,میلگرد آجدار,۱۰,امیرکبیر خزر,kg,,68636,T1,میلگرد/قیمت-میلگرد,میلگرد 10 امیرکبیر آجدار A3 کارخانه,1373,exact match on میلگرد/قیمت-میلگرد
01M03MQ8C5H68T4RC7BYPRGNXW,rebar-10-a3-amirkabir-khazar,میلگرد آجدار ۱۰ امیرکبیر خزر,میلگرد,میلگرد آجدار,۱۰,امیرکبیر خزر,kg,,68636,T1,میلگرد/قیمت-میلگرد,میلگرد 10 امیرکبیر آجدار A3 کارخانه,1373,exact match on میلگرد/قیمت-میلگرد
01M03Q57MZ2EDXM5EADTFNQS2Z,rebar-10-a3-bafgh-yzd,میلگرد آجدار ۱۰ بافق یزد,میلگرد,میلگرد آجدار,۱۰,بافق یزد,kg,,69727,T1,میلگرد/قیمت-میلگرد,میلگرد 10 بافق یزد آجدار A3 کارخانه,8050,exact match on میلگرد/قیمت-میلگرد
01M05PZG33TVBG530N5FBGGY2W,rebar-10-a2-rad-hamedan,میلگرد آجدار ۱۰ راد همدان,میلگرد,میلگرد آجدار,۱۰,راد همدان,kg,,71450,T1,میلگرد/قیمت-میلگرد,میلگرد 10 راد همدان آجدار A2 کارخانه,9263,exact match on میلگرد/قیمت-میلگرد
01M05P04YGQ6FGMJEBBDPKGTRW,rebar-10-a3-shahrvd,میلگرد آجدار ۱۰ شاهرود,میلگرد,میلگرد آجدار,۱۰,شاهرود,kg,,68181,T1,میلگرد/قیمت-میلگرد,میلگرد 10 شاهرود آجدار A3 کارخانه,6418,exact match on میلگرد/قیمت-میلگرد
01M03QDDPRJQNFYSBRGJSX63X3,rebar-10-a3-shahyn-bnab,میلگرد آجدار ۱۰ شاهین بناب,میلگرد,میلگرد آجدار,۱۰,شاهین بناب,kg,,70000,T1,میلگرد/قیمت-میلگرد,میلگرد 10 شاهین بناب آجدار A3 کارخانه,9668,exact match on میلگرد/قیمت-میلگرد
01M03QCZKTBGZTB91B6TV0FZD9,rebar-10-a2-shahyn-bnab,میلگرد آجدار ۱۰ شاهین بناب,میلگرد,میلگرد آجدار,۱۰,شاهین بناب,kg,,70000,T1,میلگرد/قیمت-میلگرد,میلگرد 10 شاهین بناب آجدار A3 کارخانه,9668,exact match on میلگرد/قیمت-میلگرد
01M05PFQR4QGMXE7F8HH77JGTZ,rebar-10-a3-sba-fvlad-zagrs,میلگرد آجدار ۱۰ صبا فولاد زاگرس,میلگرد,میلگرد آجدار,۱۰,صبا فولاد زاگرس,kg,,70909,T1,میلگرد/قیمت-میلگرد,میلگرد 10 صبا فولاد زاگرس آجدار A3 کارخانه,3882,exact match on میلگرد/قیمت-میلگرد
01KZR56CBF439VAV6SCHG44R0D,rebar-10-a3-zafar-bonab,میلگرد آجدار ۱۰ ظفر بناب,میلگرد,میلگرد آجدار,۱۰,ظفر بناب,kg,,70363,T1,میلگرد/قیمت-میلگرد,میلگرد 10 ظفر بناب آجدار A2 کارخانه,1193,exact match on میلگرد/قیمت-میلگرد
01KZR53PEXJQFEBMP5890FWX25,rebar-10-a2-zafar-bonab,میلگرد آجدار ۱۰ ظفر بناب,میلگرد,میلگرد آجدار,۱۰,ظفر بناب,kg,,70363,T1,میلگرد/قیمت-میلگرد,میلگرد 10 ظفر بناب آجدار A2 کارخانه,1193,exact match on میلگرد/قیمت-میلگرد
01M03NPJPEQ6P7SYETR90X47VF,rebar-10-a3-faico,میلگرد آجدار ۱۰ فایکو,میلگرد,میلگرد آجدار,۱۰,فایکو,kg,,69090,T1,میلگرد/قیمت-میلگرد,میلگرد 10 فایکو آجدار A3 کارخانه,9023,exact match on میلگرد/قیمت-میلگرد
