sku_id,slug,name,cat,sub,sub_active,size,factory,our_unit,old_price,confidence,their_source,their_name,their_factory,reference_price,reason
01M0AFVVWJQT2ZGPDWXH0F4F75,ibeam-16-ahvaz,تیرآهن ۱۶ اهواز,تیرآهن,تیرآهن,True,۱۶,اهواز,branch,,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 16 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,,ahanonline publishes no 12 m شاخه row for اهواز ۱۶ on its تیرآهن page
01M0AFZ69JH1QQVTSQ0DGMMWX0,ibeam-16-zafar-bonab,تیرآهن ۱۶ ظفر بناب,تیرآهن,تیرآهن,True,۱۶,ظفر بناب,branch,,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 16 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,,ahanonline publishes no 12 m شاخه row for ظفر بناب ۱۶ on its تیرآهن page
01M0ADNPYE716CZ82WZK3RW39N,ibeam-16-faico,تیرآهن ۱۶ فایکو,تیرآهن,تیرآهن,True,۱۶,فایکو,branch,,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 16 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,,ahanonline publishes no 12 m شاخه row for فایکو ۱۶ on its تیرآهن page
01M0ADVBTR1GT01RRZ7D9Q70T3,ibeam-20-faico,تیرآهن ۲۰ فایکو,تیرآهن,تیرآهن,True,۲۰,فایکو,branch,,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 20 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,,ahanonline publishes no 12 m شاخه row for فایکو ۲۰ on its تیرآهن page
01M0ADXGPY1CWQAPHGTRGDNB7K,ibeam-22-faico,تیرآهن ۲۲ فایکو,تیرآهن,تیرآهن,True,۲۲,فایکو,branch,,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 22 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,,ahanonline publishes no 12 m شاخه row for فایکو ۲۲ on its تیرآهن page
01M0ADZV8TY94B949WA9R120ZJ,ibeam-24-faico,تیرآهن ۲۴ فایکو,تیرآهن,تیرآهن,True,۲۴,فایکو,branch,,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 24 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,,ahanonline publishes no 12 m شاخه row for فایکو ۲۴ on its تیرآهن page
ibeam-light-5,ibeam-light-5,تیرآهن سبک ۱۸,تیرآهن,سبک,False,۱۸,فایکو,kg,39000,exact,تیرآهن-و-هاش/تیرآهن,تیرآهن 18 فایکو 12 متری بنگاه تهران,فایکو,16636363,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
ibeam-light-6,ibeam-light-6,تیرآهن سبک ۲۰,تیرآهن,سبک,False,۲۰,جهان فولاد غرب,kg,37850,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 20 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,96363,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-light-7,ibeam-light-7,تیرآهن سبک ۲۲,تیرآهن,سبک,False,۲۲,فولاد اهواز,kg,41000,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 22 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,90000,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-light-8,ibeam-light-8,تیرآهن سبک ۲۴,تیرآهن,سبک,False,۲۴,یزد احرامیان,kg,38400,exact,تیرآهن-و-هاش/تیرآهن,تیرآهن 24 یزد 12 متری بنگاه تهران,یزد,30454545,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
ibeam-light-9,ibeam-light-9,تیرآهن سبک ۲۷,تیرآهن,سبک,False,۲۷,یزد احرامیان,kg,40600,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 27 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,90000,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-castellated-22,ibeam-castellated-22,تیرآهن لانه‌زنبوری ۲۰,تیرآهن,لانه زنبوری,True,۲۰,جهان فولاد غرب,kg,41000,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 20 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,96363,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-castellated-23,ibeam-castellated-23,تیرآهن لانه‌زنبوری ۲۲,تیرآهن,لانه زنبوری,True,۲۲,فایکو,kg,38700,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 22 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,90000,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-castellated-24,ibeam-castellated-24,تیرآهن لانه‌زنبوری ۲۴,تیرآهن,لانه زنبوری,True,۲۴,ظفر بناب,kg,40800,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 24 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,90000,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-castellated-25,ibeam-castellated-25,تیرآهن لانه‌زنبوری ۲۷,تیرآهن,لانه زنبوری,True,۲۷,فایکو,kg,39050,uncertain,تیرآهن-و-هاش/تیرآهن,تیرآهن 27 ذوب آهن 12 متری IPE کارخانه,ذوب آهن,90000,only one ahanonline row for this size and its mill is not ours (ذوب آهن)
ibeam-hea-10,ibeam-hea-10,تیرآهن هاش سبک (HEA) ۱۴,تیرآهن,هاش سبک,True,۱۴,فایکو,kg,38750,uncertain,تیرآهن-و-هاش/هاش,هاش 14,ذوب آهن,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
