path_relative_to_web,lines,review_status,scope
e2e/accessibility.spec.ts,16,test_suite,"Chromium Playwright suite executed; 24 tests passed, including accessibility checks."
e2e/admin-pricing-catalog.spec.ts,350,test_suite,"Chromium Playwright suite executed; 24 tests passed, including accessibility checks."
e2e/admin-rbac.spec.ts,231,test_suite,"Chromium Playwright suite executed; 24 tests passed, including accessibility checks."
e2e/adminLogin.ts,37,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
e2e/auth.spec.ts,98,test_suite,"Chromium Playwright suite executed; 24 tests passed, including accessibility checks."
e2e/catalog.spec.ts,52,test_suite,"Chromium Playwright suite executed; 24 tests passed, including accessibility checks."
scripts/addAhanOnlineSubcats.ts,91,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/ai-trace-probe.mts,76,inventoried,No manual review claim.
scripts/alignCatalogSafeFields.ts,339,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/backfillArticleBodyJson.ts,136,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/backfillBilletHistory.ts,167,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/backfillProfileTableFields.ts,211,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/catalogIntegrityAudit.ts,52,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/categoryDescriptions.ts,57,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/check-analytics.mts,9,inventoried,No manual review claim.
scripts/check-migration.mts,14,inventoried,No manual review claim.
scripts/check-seed.mts,23,inventoried,No manual review claim.
scripts/cleanupSteelDuplicates.ts,115,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/consolidateSheet.ts,233,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/e2e-db.ts,70,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fillCatalogGaps.ts,742,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fillHashWeights.ts,268,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fillSheetAndRebarSpecGaps.ts,310,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fillSourcedDimensions.ts,182,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fixBranchPricedTirahan.ts,204,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fixHashMills.ts,265,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/fixTheoreticalWeights.ts,235,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
scripts/jobs.ts,32,static_checked,TypeScript/ESLint checks; source not manually reviewed in full.
